,Thousands of Passengers,1st Diff,2nd Diff,Seasonality,forecast
1954-09-01,259,-34.0,-25.0,22.0,
1954-10-01,229,-30.0,4.0,18.0,
1954-11-01,203,-26.0,4.0,23.0,
1954-12-01,229,26.0,52.0,28.0,
1955-01-01,242,13.0,-13.0,38.0,
1955-02-01,233,-9.0,-22.0,45.0,
1955-03-01,267,34.0,43.0,32.0,
1955-04-01,269,2.0,-32.0,42.0,
1955-05-01,270,1.0,-1.0,36.0,
1955-06-01,315,45.0,44.0,51.0,
1955-07-01,364,49.0,4.0,62.0,
1955-08-01,347,-17.0,-66.0,54.0,
1955-09-01,312,-35.0,-18.0,53.0,
1955-10-01,274,-38.0,-3.0,45.0,
1955-11-01,237,-37.0,1.0,34.0,
1955-12-01,278,41.0,78.0,49.0,
1956-01-01,284,6.0,-35.0,42.0,
1956-02-01,277,-7.0,-13.0,44.0,
1956-03-01,317,40.0,47.0,50.0,
1956-04-01,313,-4.0,-44.0,44.0,
1956-05-01,318,5.0,9.0,48.0,
1956-06-01,374,56.0,51.0,59.0,
1956-07-01,413,39.0,-17.0,49.0,
1956-08-01,405,-8.0,-47.0,58.0,
1956-09-01,355,-50.0,-42.0,43.0,
1956-10-01,306,-49.0,1.0,32.0,
1956-11-01,271,-35.0,14.0,34.0,
1956-12-01,306,35.0,70.0,28.0,
1957-01-01,315,9.0,-26.0,31.0,
1957-02-01,301,-14.0,-23.0,24.0,
1957-03-01,356,55.0,69.0,39.0,
1957-04-01,348,-8.0,-63.0,35.0,
1957-05-01,355,7.0,15.0,37.0,
1957-06-01,422,67.0,60.0,48.0,
1957-07-01,465,43.0,-24.0,52.0,
1957-08-01,467,2.0,-41.0,62.0,
1957-09-01,404,-63.0,-65.0,49.0,
1957-10-01,347,-57.0,6.0,41.0,
1957-11-01,305,-42.0,15.0,34.0,
1957-12-01,336,31.0,73.0,30.0,
1958-01-01,340,4.0,-27.0,25.0,
1958-02-01,318,-22.0,-26.0,17.0,
1958-03-01,362,44.0,66.0,6.0,
1958-04-01,348,-14.0,-58.0,0.0,
1958-05-01,363,15.0,29.0,8.0,
1958-06-01,435,72.0,57.0,13.0,
1958-07-01,491,56.0,-16.0,26.0,
1958-08-01,505,14.0,-42.0,38.0,
1958-09-01,404,-101.0,-115.0,0.0,
1958-10-01,359,-45.0,56.0,12.0,
1958-11-01,310,-49.0,-4.0,5.0,
1958-12-01,337,27.0,76.0,1.0,
1959-01-01,360,23.0,-4.0,20.0,
1959-02-01,342,-18.0,-41.0,24.0,
1959-03-01,406,64.0,82.0,44.0,
1959-04-01,396,-10.0,-74.0,48.0,
1959-05-01,420,24.0,34.0,57.0,
1959-06-01,472,52.0,28.0,37.0,
1959-07-01,548,76.0,24.0,57.0,
1959-08-01,559,11.0,-65.0,54.0,
1959-09-01,463,-96.0,-107.0,59.0,
1959-10-01,407,-56.0,40.0,48.0,
1959-11-01,362,-45.0,11.0,52.0,
1959-12-01,405,43.0,88.0,68.0,
1960-01-01,417,12.0,-31.0,57.0,
1960-02-01,391,-26.0,-38.0,49.0,
1960-03-01,419,28.0,54.0,13.0,
1960-04-01,461,42.0,14.0,65.0,
1960-05-01,472,11.0,-31.0,52.0,
1960-06-01,535,63.0,52.0,63.0,
1960-07-01,622,87.0,24.0,74.0,
1960-08-01,606,-16.0,-103.0,47.0,
1960-09-01,508,-98.0,-82.0,45.0,
1960-10-01,461,-47.0,51.0,54.0,
1960-11-01,390,-71.0,-24.0,28.0,
1960-12-01,432,42.0,113.0,27.0,
1961-01-01,,,,,
1961-02-01,,,,,421.7932201817202
1961-03-01,,,,,469.96762848562497
1961-04-01,,,,,492.2050618577332
1961-05-01,,,,,515.9525489980296
1961-06-01,,,,,574.2289059878268
1961-07-01,,,,,669.6665244290673
1961-08-01,,,,,657.1424150018606
1961-09-01,,,,,554.7372213756825
1961-10-01,,,,,499.2033058686488
1961-11-01,,,,,433.8026785887872
1961-12-01,,,,,476.94968038349447
1962-01-01,,,,,499.2282317063731
1962-02-01,,,,,464.255042538338
1962-03-01,,,,,509.68989277315416
1962-04-01,,,,,540.4152587595235
1962-05-01,,,,,563.4611806157139
1962-06-01,,,,,626.7742178230174
1962-07-01,,,,,727.241086388764
1962-08-01,,,,,712.1698886782685
1962-09-01,,,,,603.1027091436091
1962-10-01,,,,,547.0861403543063
1962-11-01,,,,,475.2530651734956
1962-12-01,,,,,520.5343808310013
1963-01-01,,,,,544.7881648961702
1963-02-01,,,,,507.0708267516599
1963-03-01,,,,,556.1453165681202
1963-04-01,,,,,587.1095089588792
1963-05-01,,,,,613.1638016302165
1963-06-01,,,,,678.8470331376568
1963-07-01,,,,,785.0810912311875
1963-08-01,,,,,769.6256037714076
1963-09-01,,,,,654.4184283977776
1963-10-01,,,,,595.5361403538709
1963-11-01,,,,,520.9564014744458
1963-12-01,,,,,568.1514638237779
1964-01-01,,,,,593.7454211519662
1964-02-01,,,,,553.3619521382799
1964-03-01,,,,,604.0144990163626
1964-04-01,,,,,637.8537638831738
1964-05-01,,,,,665.7157716850346
1964-06-01,,,,,734.6268604597834
1964-07-01,,,,,846.371405879831
1964-08-01,,,,,829.8616890797579
1964-09-01,,,,,708.3510369143262
1964-10-01,,,,,647.3666568256295
1964-11-01,,,,,568.8767558041367
1964-12-01,,,,,618.0564426458368
1965-01-01,,,,,645.1861874690518
1965-02-01,,,,,602.1188460051123
1965-03-01,,,,,654.996083123535
1965-04-01,,,,,690.8757062670928
1965-05-01,,,,,720.920773209141
1965-06-01,,,,,792.7851094005571
1965-07-01,,,,,910.1121929931709
1965-08-01,,,,,892.762116988953
1965-09-01,,,,,765.0095706037646
1965-10-01,,,,,701.6860824771842
1965-11-01,,,,,619.6595085987633
1965-12-01,,,,,670.798820405155
